dataset,domain,pv_accuracy,node_accuracy,node_coverage,column_count,row_count,numeric_column_count,categorical_column_count,numeric_to_categorical_ratio,max_column_cardinality,mean_column_cardinality
bis_bis_central_bank_policy_rate,Economics/Finance,36.4,14.3,114.3,18,30,1,17,0.058823529411764705,30,3.5555555555555554
brazil_sidra_ibge,Brazil/LatAm,2.3,4.7,18.6,7,143,1,6,0.16666666666666666,138,23.428571428571427
brazil_visdata_FoodBasketDistribution,Brazil/LatAm,0.0,0.0,100.0,6,176,1,5,0.2,22,8.666666666666666
brazil_visdata_brazil_rural_development_program,Brazil/LatAm,0.0,0.0,38.9,18,4,6,12,0.5,4,1.1111111111111112
brfss_nchs_asthma_prevalence,Health,19.1,26.1,269.6,11,10,5,6,0.8333333333333334,10,6.363636363636363
cdc_social_vulnerability_index,Health,14.6,2.4,69.0,159,29,155,4,38.75,29,19.60377358490566
census_v2_sahie,Census/Demographics,34.1,22.2,75.0,26,100,22,4,5.5,100,39.19230769230769
census_v2_saipe,Census/Demographics,53.3,14.3,100.0,8,24,6,2,3.0,24,15.25
commerce_eda,Economics/Finance,6.7,1.6,7.8,10,3240,5,5,1.0,3240,777.6
crdc_import_crdc_harassment_or_bullying,Crime/Safety,0.0,0.0,1.3,4,3105,2,2,1.0,135,40.0
database_on_indian_economy_india_rbi_state_statistics,Economics/Finance,6.4,1.2,14.5,11,5,0,11,0.0,5,2.909090909090909
doctoratedegreeemployment,Education,18.3,16.1,51.6,7,240,1,6,0.16666666666666666,114,69.71428571428571
fao_currency_and_exchange_rate,Economics/Finance,0.0,0.0,2.3,6,66,1,5,0.2,66,15.333333333333334
fbi_fbigovcrime,Crime/Safety,6.6,0.0,8.7,13,9,11,2,5.5,7,6.076923076923077
india_ndap,India,6.1,0.0,30.0,7,147,2,5,0.4,51,15.285714285714286
india_ndap_india_nss_health_ailments,Health,0.0,0.0,62.2,12,19,6,6,1.0,8,2.6666666666666665
india_nfhs,Health,21.6,0.0,24.0,112,24,107,5,21.4,24,18.473214285714285
inpe_fire,Environment,40.5,12.5,93.8,15,837,14,1,14.0,745,359.3333333333333
ncses_median_annual_salary,Education,5.4,8.1,13.5,4,326,2,2,1.0,168,64.75
ncses_ncses_demographics_seh_import,Education,8.1,18.4,63.2,11,19,7,4,1.75,17,14.0
oecd_regional_education,Education,2.6,5.6,27.8,4,468,2,2,1.0,41,14.0
oecd_wastewater_treatment,Environment,3.6,7.7,107.7,14,8,2,12,0.16666666666666666,8,2.2857142857142856
opendataforafrica_ethiopia_statistics,Census/Demographics,64.4,87.0,0.5,6,81,1,5,0.2,81,17.666666666666668
opendataforafrica_kenya_census,Census/Demographics,30.0,28.6,185.7,16,19,2,14,0.14285714285714285,16,2.75
southkorea_statistics_education,Education,0.0,0.0,188.5,179,9,0,179,0.0,9,7.402234636871508
southkorea_statistics_employment,Employment/Labor,0.0,0.0,17.9,12,9,10,2,5.0,9,8.0
southkorea_statistics_health,Health,1.5,2.9,20.6,6,675,2,4,0.5,135,36.5
undata,Other/Misc,88.3,89.9,10.1,11,49,4,7,0.5714285714285714,49,8.363636363636363
us_bls_bls_ces,Employment/Labor,0.4,0.8,4.0,14,7,12,2,6.0,6,5.142857142857143
us_bls_bls_ces_state,Employment/Labor,0.2,0.5,0.4,6,99,4,2,2.0,91,19.0
us_bls_cpi_category,Economics/Finance,0.0,0.0,0.9,8,330,1,7,0.14285714285714285,262,41.25
us_bls_us_cpi,Economics/Finance,1.1,1.9,103.7,44,14,37,7,5.285714285714286,10,9.5
us_cdc_single_race,Health,6.4,3.9,19.7,14,91,5,9,0.5555555555555556,62,10.571428571428571
us_census,Census/Demographics,4.6,14.6,16.9,15,118,14,1,14.0,96,89.86666666666666
us_census_us_monthly_retail_sales,Economics/Finance,1.0,0.0,12.5,15,118,14,1,14.0,96,89.86666666666666
us_crash_fars_crashdata,Crime/Safety,1.2,3.7,6.6,80,4,48,32,1.5,4,2.675
us_steam_degrees_data,Education,7.1,11.5,17.3,8,3240,3,5,0.6,3107,430.5
us_urban_school_teachers,Education,8.2,0.0,40.0,21,3,16,5,3.2,3,1.9523809523809523
usa_dol_minimum_wage,Employment/Labor,89.0,0.0,90.5,56,5,39,17,2.2941176470588234,5,3.0
world_bank_commodity_market,Economics/Finance,32.7,0.0,78.7,73,99,52,21,2.4761904761904763,99,31.34246575342466
zurich_bev_3240_wiki,Census/Demographics,50.0,25.0,100.0,3,24,2,1,2.0,24,16.333333333333332
zurich_bev_3903_age10_wiki,Census/Demographics,17.6,6.7,100.0,5,24,3,2,1.5,23,9.8
zurich_bev_3903_hel_wiki,Census/Demographics,30.0,12.5,75.0,4,24,2,2,1.0,24,9.75
zurich_bev_3903_sex_wiki,Census/Demographics,37.5,16.7,100.0,4,24,2,2,1.0,24,9.75
zurich_bev_4031_hel_wiki,Census/Demographics,37.5,16.7,100.0,4,24,2,2,1.0,20,8.75
zurich_bev_4031_sex_wiki,Census/Demographics,62.5,50.0,100.0,4,24,2,2,1.0,19,8.5
zurich_bev_4031_wiki,Census/Demographics,50.0,25.0,100.0,3,24,2,1,2.0,24,16.333333333333332
zurich_wir_2552_wiki,Other/Misc,75.0,10.0,100.0,9,24,8,1,8.0,24,21.444444444444443
